job_id,job_title,salary_usd,employment_type,company_location,is_remote,employee_location,job_skills,degree_required,posting_date,company_name,salary_tier,has_target,degree_flag
8879,Data Analyst,111175,Full-time,Sweden,False,Sweden,"['sql', 'python', 'azure', 'databricks', 'power bi']",False,2023-01-26,Vattenfall,High,True,no degree required
8894,Data Analyst,60000,Full-time,United States,False,"New York, United States",['excel'],False,2023-01-10,Blueprint Strategic Advisory Partners,Mid,False,no degree required
8900,Data Analyst,97500,Full-time,United States,False,"Illinois, United States","['sql', 'python', 'r', 'power bi']",False,2023-04-17,AE Business Solutions,Mid,True,no degree required
8908,Data Analyst,47750,Full-time,United States,False,"New York, United States",['excel'],False,2023-05-30,City of Bridgeport,Low,False,no degree required
8955,Data Analyst,82500,Full-time,United States,False,Georgia,"['sql', 'excel', 'power bi']",False,2023-05-31,NextGen | GTA: A Kelly Telecom Company,Mid,True,no degree required
8981,Data Analyst,102500,Full-time,United States,True,"Texas, United States","['python', 'bash', 'gcp', 'hadoop', 'spark', 'flow', 'jenkins', 'github', 'jira', 'confluence']",False,2023-04-05,Orion Groups,High,True,no degree required
9084,Data Analyst,100000,Full-time,United States,False,"Illinois, United States","['c#', 'sql', 'crystal', 'sql server', 'oracle', 'windows', 'sap']",False,2023-04-26,SDI Presence,Mid,True,no degree required
9106,Data Analyst,55000,Full-time,United States,False,"Florida, United States","['sql', 'vba', 'python', 'sql server', 'excel', 'word', 'powerpoint', 'outlook']",False,2023-11-17,Advanced Management USA LLC,Mid,True,no degree required
9127,Data Analyst,72500,Full-time,Sudan,False,Sudan,['phoenix'],True,2023-10-28,"TechMate, Inc.",Mid,False,no degree required
9151,Data Analyst,80256,Full-time,United States,False,Georgia,['sql'],False,2023-06-23,JEA,Mid,True,no degree required
9153,Data Analyst,57500,Full-time,Egypt,False,Egypt,['python'],False,2023-08-18,Contentsquare,Mid,True,no degree required
